5.6 s, 342.2714638573116 m, 20.347371010317573 m/s, -11.732002858971859 m/s^2, 0.04330042800000001 kg
5.7 s, 344.19092293342726 m, 19.194590761156963 m/s, -11.527802491606087 m/s^2, 0.04330042800000001 kg
5.8 s, 345.9969989770629 m, 18.06076043635635 m/s, -11.338303248006133 m/s^2, 0.04330042800000001 kg
5.9 s, 347.69144804870893 m, 16.944490716460567 m/s, -11.162697198957817 m/s^2, 0.04330042800000001 kg
6.0 s, 349.27589459363577 m, 15.844465449268103 m/s, -11.000252671924649 m/s^2, 0.04330042800000001 kg
6.1 s, 350.7518380653144 m, 14.759434716786643 m/s, -10.85030732481461 m/s^2, 0.04330042800000001 kg
6.2 s, 352.1206589165317 m, 13.688208512172398 m/s, -10.71226204614244 m/s^2, 0.04330042800000001 kg
6.3 s, 353.3836240119508 m, 12.62965095419159 m/s, -10.58557557980809 m/s^2, 0.04330042800000001 kg
6.4 s, 354.5418915094954 m, 11.582674975445418 m/s, -10.469759787461728 m/s^2, 0.04330042800000001 kg
6.5 s, 355.59651525230066 m, 10.546237428052635 m/s, -10.364375473927833 m/s^2, 0.04330042800000001 kg
6.6 s, 356.548448707988 m, 9.51933455687286 m/s, -10.269028711797745 m/s^2, 0.04330042800000001 kg
6.7 s, 357.3985484875714 m, 8.50099779583432 m/s, -10.183367610385407 m/s^2, 0.04330042800000001 kg
6.8 s, 358.1475774723345 m, 7.490289847630929 m/s, -10.107079482033903 m/s^2, 0.04330042800000001 kg
6.9 s, 358.7962075734428 m, 6.486301011083487 m/s, -10.039888365474413 m/s^2, 0.04330042800000001 kg
7.0 s, 359.34502214583364 m, 5.488145723908206 m/s, -9.981552871752811 m/s^2, 0.04330042800000001 kg
7.1 s, 359.79451807499146 m, 4.494959291578139 m/s, -9.931864323300662 m/s^2, 0.04330042800000001 kg
7.2 s, 360.14510755253764 m, 3.5058947754619574 m/s, -9.89064516116182 m/s^2, 0.04330042800000001 kg
7.3 s, 360.39711955409086 m, 2.5201200155320866 m/s, -9.857747599298708 m/s^2, 0.04330042800000001 kg
7.4 s, 360.55080103056025 m, 1.536814764693749 m/s, -9.833052508383377 m/s^2, 0.04330042800000001 kg
7.5 s, 360.6063178218836 m, 0.5551679132332876 m/s, -9.816468514604612 m/s^2, 0.04330042800000001 kg
7.6 s, 360.5637553001883 m, -0.4256252169527792 m/s, -9.807931301860668 m/s^2, 0.04330042800000001 kg
