"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S1S","S2S","S3S","S4S","S5S","S6S","S7S","S8S","S9S","S10S","S11S","S12S","S13S","close"
"255",0,-0.274687749742142,0,0,3.31825816780086,0,0,0,0,0,6.09219913260439,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"256",0,2.82895089777686,0,0,3.91828594893907,0,0,0,0,0,3.54426776635796,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"257",0,4.41105896266506,0,0,1.31225073844246,0,0,0,0,0,4.66310058525223,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"258",0,2.24122220888589,0,0,2.30322781697389,0,0,0,0,0,5.12825299923027,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"259",0,5.46292928552831,0,0,1.73593885683715,0,0,0,0,0,3.2088991934098,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
"260",1.04223896271551,3.51856006439434,0,0,4.86532730407241,0,0,0,0,0,5.74654710532614,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"261",2.14569896482158,4.9897407782957,0,0,-0.528100136541272,0,0,0,0,0,10.9025952355983,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"262",5.03995827890278,0,0,0,4.40342067227489,0,3.61304208561118,0,0,0,3.30732164190585,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
"263",5.206943830188,0,0,0,0,0,2.44100897335403,0,0,0,8.09865935949658,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"264",5.67300445164139,0,0,0,0,0,2.96960753031583,0,0,0,5.23683924147181,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"265",4.61879113180234,0,0,0,0,0,3.15657568164607,0,0,11.5948029617963,5.97272880889559,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"266",2.78037258304963,0,0,0,0,0,3.20834279553014,0.104558553541841,0,4.10058088098748,11.1476280583967,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
"267",5.67988999736317,0,0,0,0,0,7.96393428772873,-0.0680136686560654,0,3.42541133920937,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"268",6.81839559730807,0,0,0,0,0,3.99486050443398,1.67289977368483,0,0.149206180797462,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"269",8.84564574988094,0,0,0,0,0,1.62953971663208,1.42423554099428,0,3.19793302742336,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"270",6.35054229742975,0,0,0,0,0,6.95566141168746,0.602447833531034,0,5.01845973934292,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"271",9.29339345495013,0,0,0,0,0,2.47289347044309,1.56399675355193,0,2.82771489696348,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"272",6.02771541098251,0,0,0,0,0,7.45787143968618,2.68289914243416,0,3.02029826514975,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"273",8.47248086011055,0,0,0,0,0,9.69786138973173,5.24550775972143,0,5.19625522146765,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"274",10.0642160936953,0,0,0,0,0,12.6844645187168,9.85463775407977,0,10.852205487736,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"275",9.81316131418339,0,0,0,0,0,9.47865632860109,7.6088669105997,0,9.47757346925667,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"276",10.277732471477,0,0,0,0,0,5.51069537889985,9.06918397319281,0,14.2314916988017,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"277",14.7223382607604,0,0,0,0,0,12.4136752237294,10.4604188797739,0,3.5317257524884,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"278",15.3218155787446,0,0,0,0,0,10.5728829751952,10.1814564002096,0,16.083222402478,0,0,34.1524166674725,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"279",14.862749813413,0,0,0,0,0,13.468344847395,17.3669974092702,0,11.9979821139188,0,0,41.9626646072618,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"280",9.66776992412052,0,0,0,0,0,18.0977607673319,10.5304902770576,0,22.2586485118708,0,0,34.7880483152501,1,0,0,0,0,0,1,1,0,1,0,0,1,0
"281",0,0,9.29620462977582,0,39.1633246696754,0,23.1762593204417,0,7.52140549276773,11.9171901465604,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"282",0,0,11.2507276899828,0,21.1584764275211,0,19.5388093809248,0,7.64273529561184,11.1043247933153,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"283",0,0,13.5982126876357,0,29.2836411522657,0,21.6867986260241,0,-0.782196138431111,13.0433339190826,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"284",0,0,14.5945135518076,0,34.7165636057148,0,9.65822576258136,0,8.1325622776765,5.80658500736703,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
"285",0,0,12.2062564124855,0,0,0,18.0532527023171,0,8.23407023529406,10.6809746410567,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"286",0,0,10.5576699140705,0,0,0,16.9953764931284,0,10.2992968769448,6.42242900466337,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"287",0,0,12.5915664536069,0,0,0,9.75669661635591,0,9.09057368215994,4.66446989729864,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"288",0,0,10.0114571318549,0,0,0,10.7945690525717,0,8.21293454748285,13.922956167147,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"289",23.3675130660029,0,16.9956443180573,0,0,0,16.1212304279335,0,5.8935440885755,7.73023315714209,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"290",18.9047207829418,0,13.3029802026466,0,0,0,18.7670563426052,0,6.15109347032085,11.3670011142439,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"291",15.7903830087904,0,19.0837690357766,0,0,0,8.83006567196108,0,5.92480037466679,10.1732203203492,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
"292",22.1676174268504,0,15.0198190484588,0,0,0,11.9645903681533,0,0.487800843503437,11.8172109971785,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
